bps_kode_provinsi;bps_nama_provinsi;bps_kode_kabupaten_kota;bps_nama_kabupaten_kota;tahun;tahap_kegiatan;jumlah_perusahaan;satuan;;;
11;Aceh;1110;Kabupaten Bireuen;2022;Eksplorasi;15;Unit;;;
11;Aceh;1111;Kabupaten Aceh Utara;2022;Eksplorasi;3;Unit;;;
11;Aceh;1112;Kabupatan Aceh Barat Daya;2022;Eksplorasi;6;Unit;;;
11;Aceh;1113;Kabupaten Gayo Lues;2022;Eksplorasi;2;Unit;;;
11;Aceh;1114;Kabupaten Aceh Tamiang;2022;Eksplorasi;17;Unit;;;
11;Aceh;1115;Kabupaten Nagan Raya;2022;Eksplorasi;13;Unit;;;
11;Aceh;1116;Kabupaten Aceh Jaya;2022;Eksplorasi;9;Unit;;;
11;Aceh;1117;Kabupaten Bener Meriah;2022;Eksplorasi;4;Unit;;;
11;Aceh;1118;Kabupaten Pidie Jaya;2022;Eksplorasi;1;Unit;;;
11;Aceh;1171;Kota Banda Aceh;2022;Eksplorasi;;Unit;;;
11;Aceh;1172;Kota Sabang;2022;Eksplorasi;;Unit;;;
11;Aceh;1173;Kota Langsa;2022;Eksplorasi;3;Unit;;;
11;Aceh;1174;Kota Lhokseumawe;2022;Eksplorasi;1;Unit;;;
11;Aceh;1175;Kota Subulussalam;2022;Eksplorasi;6;Unit;;;
11;Aceh;1101;Kabupaten Simeulue;2022;Operasi Produksi;6;Unit;;;
11;Aceh;1102;Kabupaten Aceh Singkil;2022;Operasi Produksi;6;Unit;;;
11;Aceh;1103;Kabupaten Aceh Selatan;2022;Operasi Produksi;12;Unit;;;
11;Aceh;1104;Kabupaten Aceh Tenggara;2022;Operasi Produksi;4;Unit;;;
11;Aceh;1105;Kabupaten Aceh Timur;2022;Operasi Produksi;19;Unit;;;
11;Aceh;1106;Kabupaten Aceh Tengah;2022;Operasi Produksi;11;Unit;;;
11;Aceh;1107;Kabupaten Aceh Barat;2022;Operasi Produksi;12;Unit;;;
11;Aceh;1108;Kabupaten Aceh Besar;2022;Operasi Produksi;35;Unit;;;
11;Aceh;1109;Kabupaten Pidie;2022;Operasi Produksi;38;Unit;;;
11;Aceh;1110;Kabupaten Bireuen;2022;Operasi Produksi;28;Unit;;;
11;Aceh;1111;Kabupaten Aceh Utara;2022;Operasi Produksi;15;Unit;;;
11;Aceh;1112;Kabupatan Aceh Barat Daya;2022;Operasi Produksi;12;Unit;;;
11;Aceh;1113;Kabupaten Gayo Lues;2022;Operasi Produksi;3;Unit;;;
11;Aceh;1114;Kabupaten Aceh Tamiang;2022;Operasi Produksi;49;Unit;;;
11;Aceh;1115;Kabupaten Nagan Raya;2022;Operasi Produksi;18;Unit;;;
11;Aceh;1116;Kabupaten Aceh Jaya;2022;Operasi Produksi;14;Unit;;;
11;Aceh;1117;Kabupaten Bener Meriah;2022;Operasi Produksi;9;Unit;;;
11;Aceh;1118;Kabupaten Pidie Jaya;2022;Operasi Produksi;9;Unit;;;
11;Aceh;1171;Kota Banda Aceh;2022;Operasi Produksi;;Unit;;;
11;Aceh;1172;Kota Sabang;2022;Operasi Produksi;;Unit;;;
11;Aceh;1173;Kota Langsa;2022;Operasi Produksi;4;Unit;;;
11;Aceh;1174;Kota Lhokseumawe;2022;Operasi Produksi;4;Unit;;;
11;Aceh;1175;Kota Subulussalam;2022;Operasi Produksi;5;Unit;;;
